productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,size,color,colorFreeDefinition.en,details.en,isOnStock,variantKey
main,1,A000000009A,USD 85500,standard,furniture>tables>small,https://images.urbndata.com/is/image/Anthropologie/83477505_060_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Alena,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-alena,,,,,,79508,M0E20000000E1AI,79508,,red,red,,,M0E20000000E1AI
main,1,A000000008A,USD 42500,standard,furniture>tables>small;furniture>tables>outdoor,https://images.urbndata.com/is/image/Anthropologie/67606855_010_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Katerina,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-katerina,,,,,,79507,M0E20000000E1AU,79507,,,,,,M0E20000000E1AU
main,1,A000000007A,USD 123000,standard,furniture>tables>dinning;furniture>tables>outdoor,https://images.urbndata.com/is/image/Anthropologie/32366783_000_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Anastasia,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-anastasia,,,,,,79506,M0E20000000E1AJ,79506,,,,,,M0E20000000E1AJ
main,1,A000000006A,USD 50000,standard,furniture>tables>dinning;furniture>tables>outdoor,https://images.urbndata.com/is/image/Anthropologie/34124362_004_b5?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Oak,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-oak,,,,,,79505,M0E20000000E1AE,79505,,,,,,M0E20000000E1AE
main,1,A000000005A,USD 100000,standard,furniture>tables>dinning;furniture>tables>outdoor,https://images.urbndata.com/is/image/Anthropologie/34124214_004_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Plant,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-plant,,,,,,79504,M0E20000000E1AD,79504,,,,,,M0E20000000E1AD
main,1,A000000004A,USD 324500,standard,furniture>tables>dinning,https://images.urbndata.com/is/image/Anthropologie/80216963_014_b15?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Grand,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-grand,,,,,,79503,M0E20000000E1AC,79503,,,,,,M0E20000000E1AC
main,1,A000000003A,USD 67500,standard,furniture>tables>dinning,https://images.urbndata.com/is/image/Anthropologie/67119560_012_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Danila,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-danila,,,,,,79502,M0E20000000E1AB,79502,,multicolored,multi,,,M0E20000000E1AB
main,1,A000000002A,USD 131000,standard,furniture>tables>dinning,https://images.urbndata.com/is/image/Anthropologie/55364095_004_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Alex,This unique table is well suited for cozy gatherings of 6-8 people. The unique structure of wood and color will not leave you on the sidelines. It is very comfortable and ergonomic,table-alex,,,,,,79501,M0E20000000E1AA,79501,,multicolored,multi,,,M0E20000000E1AA
main,1,A000000001A,USD 120000,standard,furniture>tables>dinning,https://images.urbndata.com/is/image/Anthropologie/45201992AA_014_b15?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Maria,"This beautiful table is made by light wood. Good for bright living rooms and covered terraces. Two powerful legs surprise with their design and will not leave anyone indifferent. ",table-maria,,,,,,79500,M0E20000000E1AZ,79500,,white,white,,,M0E20000000E1AZ
main,1,A0000000015A,USD 110000,standard,furniture>sofas>twoseats,https://images.urbndata.com/is/image/Anthropologie/48270094_005_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Sofa Lilia,This unique sofa is very soft and beautiful. The material is durable and stain resistant. The color is bright and does not fade in the sun.,sofa-lilia,,,,,,79514,M0E20000000E1AW,79514,,,,,,M0E20000000E1AW
main,1,A0000000014A,USD 77500,standard,furniture>sofas>twoseats,https://images.urbndata.com/is/image/Anthropologie/70371646_011_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Sofa Daffodill,This unique sofa is very soft and beautiful. The material is durable and stain resistant. The color is bright and does not fade in the sun.,sofa-daffodill,,,,,,79513,M0E20000000E1AQ,79513,,,,,,M0E20000000E1AQ
main,1,A0000000013A,USD 120000,standard,furniture>sofas>twoseats,https://images.urbndata.com/is/image/Anthropologie/81815193_004_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Sofa Pineapple,This unique sofa is very soft and beautiful. The material is durable and stain resistant. The color is bright and does not fade in the sun.,sofa-pineapple,,,,,,79512,M0E20000000E1AK,79512,,,,,,M0E20000000E1AK
main,1,A0000000012A,USD 35000,standard,furniture>sofas>twoseats,https://images.urbndata.com/is/image/Anthropologie/69182004_014_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Sofa Rose,This unique sofa is very soft and beautiful. The material is durable and stain resistant. The color is bright and does not fade in the sun.,sofa-rose,,,,,,79511,M0E20000000E1AT,79511,,,,,,M0E20000000E1AT
main,1,A0000000011A,USD 95000,standard,furniture>sofas>twoseats,https://images.urbndata.com/is/image/Anthropologie/63716716_032_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Sofa Amellia,This unique sofa is very soft and beautiful. The material is durable and stain resistant. The color is bright and does not fade in the sun.,sofa-amellia,,,,,,79510,M0E20000000E1AP,79510,,,,,,M0E20000000E1AP
main,1,A0000000010A,USD 120000,standard,furniture>tables>small;furniture>tables>outdoor,https://images.urbndata.com/is/image/Anthropologie/83477554_072_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Table Pinetree,"This unique table looks like stone from a distance, but no, it is made of light wood. The unique design of the legs is made by the best craftsmen. And the unique texture of the surface does not absorb stains and you can not be afraid to use it for family dinners.",table-pinetree,,,,,,79509,M0E20000000E1AO,79509,,,,,,M0E20000000E1AO
main,1,A0000000016A,USD 100000,standard,furniture>armchairs>indoor,https://images.urbndata.com/is/image/Anthropologie/68885946_030_b10?$redesign-zoom-5x$,Armchair Tulip,This unique textile chair is made of reliable and durable materials. It can fit perfectly into the interior and delight you every day.,armchair-tulip,,,,,,79515,M0E20000001E1AE,79515,,,,,,M0E20000001E1AE
main,1,A0000000017A,USD 324500,standard,furniture>armchairs>indoor,https://images.urbndata.com/is/image/Anthropologie/57624504_011_b?$redesign-zoom-5x$,Armchair White Beauty,This unique textile chair is made of reliable and durable materials. It can fit perfectly into the interior and delight you every day.,armchair-white-beauty,,,,,,79516,M0E20000002E1AD,79516,,,,,,M0E20000002E1AD
main,1,A0000000018A,USD 67500,standard,furniture>armchairs>indoor;furniture>armchairs>outdoor,https://images.urbndata.com/is/image/Anthropologie/61310496_000_b?$redesign-zoom-5x$,Armchair Oak,This wooden chair is durable and will stand up to any weather conditions. The wood is processed using a unique technology.,armchair-oak,,,,,,79517,M0E20000003E1AE,79517,,,,,,M0E20000003E1AE
main,1,A0000000019A,USD 131000,standard,furniture>armchairs>outdoor,https://images.urbndata.com/is/image/Anthropologie/83477984_010_b?$redesign-zoom-5x$,Armchair Bee,"The unique design of this chair will not leave you indifferent. At the same time, it is very comfortable and durable.",armchair-bee,,,,,,79518,M0E20000004E1AE,79518,,,,,,M0E20000004E1AE
main,1,A0000000020A,USD 100000,standard,furniture>armchairs>outdoor,https://images.urbndata.com/is/image/Anthropologie/81813560_000_b?$redesign-zoom-5x$,Armchair Nature,This wooden chair is durable and will stand up to any weather conditions. The wood is processed using a unique technology.,armchair-nature,,,,,,79519,M0E20000005E1AD,79519,,,,,,M0E20000005E1AD
main,1,A0000000021A,USD 324500,standard,furniture>armchairs>indoor,https://images.urbndata.com/is/image/Anthropologie/60379682_020_b?$redesign-zoom-5x$,Armchair Butterfly,"The unique design of this chair will not leave you indifferent. At the same time, it is very comfortable and durable.",armchair-butterfly,,,,,,79520,M0E20000006E1AC,79520,,,,,,M0E20000006E1AC
main,1,A0000000022A,USD 67500,standard,furniture>storage,https://images.urbndata.com/is/image/Anthropologie/82622432_040_b2?$redesign-zoom-5x$,Storage Lagoon,This unique blue china cabinet will transform your dining room and enhance any living room.,storage-lagoon,,,,,,79521,M0E20000007E1AB,79521,,,,,,M0E20000007E1AB
main,1,A0000000023A,USD 131000,standard,furniture>armchairs>indoor,https://images.urbndata.com/is/image/Anthropologie/60252764_011_b14?$redesign-zoom-5x$,Armchair Cloud,This unique textile chair is made of reliable and durable materials. It can fit perfectly into the interior and delight you every day.,armchair-cloud,,,,,,79522,M0E20000008E1AA,79522,,,,,,M0E20000008E1AA
main,1,A0000000024A,USD 120000,standard,accessories>pillows,https://images.urbndata.com/is/image/Anthropologie/81391690_095_b?$redesign-zoom-5x$,Pillow Flowers,This soft colorful pillow will look great in your living room. The pillowcase is washable.,pillow-flowers,,,,,,79523,M0E20000009E1AZ,79523,,,,,,M0E20000009E1AZ
main,1,A0000000025A,USD 110000,standard,accessories>pillows,https://images.urbndata.com/is/image/Anthropologie/45457709AA_051_b?$redesign-zoom-5x$,Pillow Fluffy,This soft fluffy pillow would look great in your living room. The pillowcase is washable.,pillow-fluffy,,,,,,79524,M0E20000020E1AW,79524,,,,,,M0E20000020E1AW
main,1,A0000000026A,USD 77500,standard,light>lamps,https://images.urbndata.com/is/image/Anthropologie/45221714AA_038_b10?$redesign-zoom-5x$,Lamp Candy,This table lamp will perfectly complement your interior and can be combined with matching textiles in the living or dining room. It will also look good on bedside tables.,lamp-candy,,,,,,79525,M0E20000012E1AQ,79525,,,,,,M0E20000012E1AQ
main,1,A0000000027A,USD 120000,standard,light>lamps,https://images.urbndata.com/is/image/Anthropologie/78905254_045_b2?$redesign-zoom-5x$,Lamp Flower,This table lamp will perfectly complement your interior and can be combined with matching textiles in the living or dining room. It will also look good on bedside tables.,lamp-flower,,,,,,79526,M0E20000010E1AK,79526,,,,,,M0E20000010E1AK
main,1,A0000000028A,USD 35000,standard,light>lamps,https://images.urbndata.com/is/image/Anthropologie/48882138_032_b2?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Lamp Green,This table lamp will perfectly complement your interior and can be combined with matching textiles in the living or dining room. It will also look good on bedside tables.,lamp-green,,,,,,79527,M0E20000019E1AT,79527,,green,green,,,M0E20000019E1AT
main,1,A0000000029A,USD 95000,standard,furniture>storage,https://images.urbndata.com/is/image/Anthropologie/60589611_237_b?$redesign-zoom-5x$,Storage Olivia,"This beautiful olive-colored sideboard is very comfortable, durable and looks great in warm-colored interiors.",storage-olivia,,,,,,79528,M0E20000052E1AP,79528,,green,green,,,M0E20000052E1AP
main,1,A0000000030A,USD 120000,standard,furniture>storage,https://images.urbndata.com/is/image/Anthropologie/57142234_044_b?$a15-pdp-detail-shot$&fit=constrain&fmt=webp&qlt=80&wid=1080,Storage Sweden,This comfortable gray chest of drawers can be used for a variety of purposes. It will complement your living or dining room well.,storage-sweden,,,,,,79529,M0E20000053E1AO,79529,,grey,grey,,,M0E20000053E1AO
